event_name,user_id,client_id,session_number,session_id,session_campaign_id,session_campaign_name,session_source,session_medium,session_term,session_content,event_timestamp
first_visit,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495499153741
session_start,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495499153741
page_view,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495499153741
scroll,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495499154376
teste_1,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495528601331
teste_2,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495531493348
user_engagement,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495593410270
page_view,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495596109473
scroll,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495596142360
user_engagement,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495612060437
page_view,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495614126658
scroll,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495614161488
user_engagement,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495793186295
page_view,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495801140074
scroll,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495801163766
user_engagement,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495815022312
page_view,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495819082739
scroll,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495819121300
user_engagement,,820687608.1730395654,1,1740495499,,(referral),tagassistant.google.com,referral,(not set),(not set),1740495870600049
scroll,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498496294167
session_start,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498496296693
page_view,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498496296693
teste_3,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498534373026
teste_4,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498537171080
page_view,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498548536122
add_to_cart,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498552300058
user_engagement,,820687608.1730395654,2,1740498497,,(referral),tagassistant.google.com,referral,(not set),(not set),1740498584619056
scroll,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502192626658
session_start,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502192630909
page_view,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502192630909
user_engagement,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502216047615
page_view,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502217784149
scroll,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502217814585
teste_55,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502250089248
teste_66,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502253332793
page_view,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502261733345
add_to_cart,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502310602092
page_view,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502322827998
purchase,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502331669986
purchase,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502332431290
page_view,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502333402840
user_engagement,,820687608.1730395654,3,1740502193,,(referral),tagassistant.google.com,referral,(not set),(not set),1740502353820527
session_start,,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740581972988683
page_view,,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740581972988683
scroll,,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740581972989655
scroll,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582363945077
page_view,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582363946559
page_view,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582541310736
add_to_cart,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582541948882
page_view,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582543855916
purchase,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582544841683
purchase,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582545176403
page_view,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582546116920
page_view,wxtscscj4gg,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582547155537
user_engagement,,820687608.1730395654,4,1740581971,,(referral),tagassistant.google.com,referral,(not set),(not set),1740582633800600